P	$iteration_pi_sum$	$recursion_fibonacci$	$recursion_quicksort$	$parse_integers$	$print_to_file$	$matrix_statistics$	$matrix_multiply$	$userfunc_mandelbrot$
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
1	1.0	1.96	0.94	1.35	0.66	79.0	0.98	0.75
2	1.0	1.36	1.51	0.99	0.57	1.83	1.11	1.03		
3	1.0	1.93	1.16	0.97	1.63	6.10	1.25	0.79
4	1.0	0.58	1.31	5.29	6.35	1.96	1.27	0.75
5	1.01	1.73	2.63	2.82	10.6	4.83	7.99	1.12
6	1.0	3.84	2.91	6.41	0.0	11.33	24.71	1.07
7	1.01	18.69	2.35	229.56	110.45	8.10	1.16	10.07
8	1.55	139.89	44.77	15.52	65.67	7.85	1.20	19.20
9	10.0	100.78	37.32	19.98	4.49	17.93	1.18	132.38
